Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Paras Petrofils,521246,PARASPETRO,Textiles - Manmade,3.15,107.01,47.94,,5.2,0,0,4.06,0.75,0,60.21,80,74.29,20.69,5.26,19.05,9.86,75,-36.8,,270.59,31.25,-8.7,-14.86,185549,0.06,1.52,0.95,2.51,0.66,0.77,0.95,25.54,-69.9,-2.74,0.01,-0.01,-1.55,-1.66,-1.8,,-421.09,-289.11,0.12,80.38,1.24,1.71,1.31,3,0
Ajooni Biotech,,AJOONI,Food - Processing - Indian,6.1,106.89,66.37,49.49,2.5,0,0.05,6.9,3.4,0,35.31,0,74.29,31.03,63.16,76.19,67.5,65,36.8,-27.71,50.25,45.58,12.34,5.54,998552,0.61,7.05,6.45,5.83,6.45,7.53,9.3,4.57,5.68,1.24,0.05,0.12,7.76,4.07,5.12,1.33,-19.67,24.52,0.92,90.23,12.18,16.83,1.07,3,0
Mercury Labs,538964,,Pharmaceuticals - Indian - Formulations,890.2,106.82,31.8,18.91,2.1,0.39,0.11,1303,709,0,86.1,100,94.29,60.34,44.74,71.43,53.63,60,16.84,7.18,12.99,12.68,5.52,2.36,155,0.01,1072.12,1047.26,858.18,1047.26,1222.56,1511.2,3.73,17.64,4.73,69.7,47.08,13.54,8.34,11.71,1.41,48.19,10.29,0.04,120.72,1978.16,2733.76,1.06,2,0
Wallfort Fin.,532053,,Finance & Investments,110.2,106.78,23.68,3.61,0.72,0,0,148.9,46.16,0,77.48,100,80,48.28,60.53,33.33,51.46,15,36.8,39.72,129.06,26.67,-12.99,-17.3,5499,0.06,133.42,87.52,125.88,87.52,102.17,126.29,-12.46,-20.58,1.65,32.12,30.57,27.03,20.72,22.04,2.1,-11.19,2.07,0.26,94.6,165.32,228.47,1.16,6,0
Ecoplast,526703,,Packaging,355.85,106.76,23.94,11.64,2.54,0.42,0.03,399.9,110,0,87.62,100,97.14,62.07,57.89,47.62,54.47,50,36.8,72.69,217.87,34.46,-6.31,-6.66,6224,0.22,348.77,208.57,338.09,208.57,243.48,300.96,5.25,-41.39,-7.88,24.41,30.57,32.16,18.6,24.37,0.94,16.03,6.54,0.93,76.49,393.96,544.44,1.18,4,0
Titan Securities,530045,,Finance & Investments,42.63,106.66,20.48,10.59,1.2,0,0,46.89,16,0,73.38,100,77.14,37.93,34.21,38.1,35.51,75,-18.8,61.03,155.88,80.03,28.64,25.05,44247,0.19,32.06,32.62,29.54,22.61,26.39,32.62,44.31,-23.48,-0.53,6.62,4.03,1.66,11.73,12,15.24,50.19,73.54,0.92,78.61,42.7,59.01,1.14,4,0
Sampann Utpadan,534598,SAMPANN,Miscellaneous,26.25,106.65,52.9,,20.66,0,18.81,30.9,12.9,0,54.45,80,37.14,44.83,52.63,66.67,57.31,75,-15.9,54.99,84.21,18.78,17.71,31.91,50245,0.13,23.41,27.58,20.41,19.11,22.31,27.58,28.6,5.06,0.18,0.57,-0.21,0.12,-0.83,-15.55,1.49,-19.35,39.61,0.25,88.91,36.1,49.89,1.1,5,1
Madhav Copper,,MCL,Mining / Minerals / Metals,39.25,106.54,35.12,86.61,2.6,0,0.33,50.9,26.1,0,69.31,100,71.43,31.03,28.95,33.33,30.41,70,36.8,-23.51,31.27,32.15,1.55,-6.44,16116,0.06,46.88,44.04,38.3,44.04,51.42,63.56,2.48,12.21,4.92,1.73,0.45,3.61,1.47,3.04,3,-189.94,33.53,0.18,104.34,83.19,114.97,1.07,2,1
Lasa Supergeneri,540702,LASA,Pharmaceuticals - Indian - Bulk Drugs & Formln,21.2,106.45,71.17,,0.94,0,0.01,41.2,20.1,0,43.67,70,40,17.24,7.89,4.76,6.85,25,-34.84,-34.14,-10.92,-20,-28.5,-17.19,199849,0.42,30.87,28.06,25.65,28.06,32.76,40.49,-17.34,32.37,-1.87,1.16,-4.34,-6,-8.64,-11.97,1.02,-24.23,46.79,0.6,153.56,53.01,73.25,1.07,4,0
Bhilwara Spinner,514272,,Textiles - Cotton/Blended,117.55,106.42,44.29,217.19,2.44,0,1.21,159.9,38.5,0,48.1,80,48.57,10.34,26.32,4.76,19.13,65,5.29,94.4,193.88,72.59,-20.44,-0.8,1800,0.02,118.37,63.67,117.92,63.67,74.33,91.88,-0.31,-45.83,147.47,1.6,1.91,1.13,0.78,1.39,11.32,-4.78,221.14,0.05,90.27,120.27,166.21,1.22,0,1
Him Teknoforg.,505712,,Auto Ancillaries,135.2,106.35,57.52,14.96,0.59,0.3,0.83,211.95,102,0,39.81,30,57.14,31.03,28.95,66.67,41.52,55,-5.7,13.28,32.2,-21.78,-8,-0.18,51937,0.7,150.22,135.29,130.99,135.29,157.93,195.22,3.22,0.06,0.02,18.84,9.04,8.37,1.79,4.03,0.28,8.9,6.86,1.22,124.01,255.54,353.15,1.08,3,1
Bengal Tea & Fab,532230,,Tea,118.05,106.32,27.04,,0.97,0.85,0.06,153.95,71.8,0,70.31,100,74.29,31.03,26.32,38.1,30.24,75,-36.8,34.19,62.76,45.2,-5.94,-17.01,13765,0.16,71.34,73.42,95.14,62.89,73.42,90.76,24.08,-37.81,-1.57,10.42,-3.73,2.42,-1.63,-2.33,1.89,5.52,23.44,0.6,101.59,118.8,164.18,1.08,4,0
