Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Reliance Industr,500325,RELIANCE,Refineries,2860.8,1935324.77,881685.69,27.8,2.44,0.31,0.44,3024.9,2220.3,51.36,60.7,80,74.29,44.83,31.58,57.14,40.1,85,7.36,12.87,26.6,19.48,-4.07,-2.49,16332202,4672.32,2599.95,3365.16,2044.23,3365.16,3928.45,4855.93,39.94,17.63,0.44,139.1,102.9,10.02,4.7,9.23,2.15,321.02,12.22,0.53,1774372.48,6356.42,8784.38,1.03,3,1
TCS,532540,TCS,Computers - Software - Large,3670.95,1328288.5,378463.16,28.51,14.68,1.5,0.09,4254.75,3156,71.65,87.1,100,82.86,84.48,42.11,61.9,48.71,65,10.71,5.2,10.44,4.54,-10.62,-3.92,11307624,4150.97,3832.15,5012.41,3013.07,5012.41,5851.42,7232.91,21.83,36.54,1.67,171.59,126.88,64.28,32.46,51.51,5.51,33.89,19.26,1.1,1340641.73,9467.88,13084.33,1.02,2,1
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1531.55,1164808.38,1186730.46,18.18,2.95,1.27,7.39,1757.8,1363.45,76.72,86.3,82.57,74.29,95,60.53,61.9,60.99,45,34.65,0.44,-4.52,-1.53,7.05,0.75,38139348,5841.23,1720.7,2353.51,1352.92,2353.51,2747.46,3396.12,13.2,53.67,4.06,122.8,84.33,9.5,2.59,22.13,4.11,193.07,13.47,0.49,1186730.46,4445.52,6143.57,1.02,5,1
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1372.75,818016.02,293704.08,68.67,9.46,0.29,2.63,1407.05,819,59.08,59.84,80,71.43,44.83,55.26,33.33,47.95,90,20.72,37.93,65.8,35.29,21.36,3.82,25332393,3477.5,1246.08,1278.97,979.74,1278.97,1493.05,1845.55,40.11,-6.83,-0.17,18.9,13.2,13.13,3.07,14.93,5.45,21.87,12.34,1.18,631485.86,2415.83,3338.6,1.05,3,1
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,1121.05,787250.59,727011.57,17.79,3.65,0.71,6.53,1169.55,898.85,82.95,91.6,88,80,100,68.42,76.19,71.01,45,28.68,19.92,19.76,18.42,3.36,-2.55,27573177,3091.09,1142.01,1547.68,897.92,1547.68,1806.74,2233.3,24.85,38.06,1.53,80.84,63.02,8.37,2.35,20.63,4.94,11.58,15.12,0.43,727011.57,2923.39,4040.04,1.02,6,1
St Bk of India,500112,SBIN,Banks - Public Sector,830.35,740875.73,262301.24,11.04,1.79,1.65,13.51,841.25,543.15,68.08,66.71,80,85.71,50,71.05,71.43,71.18,35,28.79,24.28,42.49,45.23,7.38,0.5,23321104,1936.47,818.46,931.82,643.52,931.82,1087.79,1344.61,29.03,12.22,0.42,88.54,75.17,6.16,1.1,17.34,1.69,-123.81,16.97,0.74,617760.81,1760.1,2432.41,1.04,7,1
Life Insurance,543526,LICI,Finance & Investments,1012.7,640887.38,19592.24,15.68,7.74,0.99,0,1175,595.05,70.37,75.07,100,57.14,75.86,60.53,52.38,57.81,30,36.8,,69.59,50.95,-2.27,3.52,3546522,359.16,1210.71,1128.24,993.37,1128.24,1317.1,1628.06,1.95,11.41,5.86,85.81,64.69,66.35,0.83,63.4,0.76,25.45,13.97,1.83,559778.31,2131.13,2945.15,1.07,5,1
Infosys,500209,INFY,Computers - Software - Large,1406.9,584681.87,530204.57,22.47,6.63,2.7,0.09,1733,1262.25,74.71,83.8,83.51,82.86,84.48,57.89,61.9,59.23,65,14.62,0.47,6.62,-3.13,-15.06,-0.96,37805832,5318.9,1523.95,1957.3,1198.22,1957.3,2284.93,2824.38,17.42,39.12,2.25,74.58,63.2,39.99,19.98,31.83,3.8,27.11,14.16,1,621649.16,3697.12,5109.31,1.03,5,1
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2329.05,547662.44,221109.33,53.31,10.68,1.8,0.03,2769.65,2170.25,64.23,87.1,100,80,86.21,21.05,14.29,18.8,85,2.95,-0.42,-13.67,-9.15,-3.61,4.42,5868796,1366.87,2262.24,3125.83,1778.71,3125.83,3649.05,4510.57,30.94,34.21,1.11,53.92,43.74,27.24,13.56,20.24,8.85,52.98,35.01,0.62,580339.45,5904.34,8159.62,1.02,4,1
ITC,500875,ITC,Cigarettes,426.45,532159.84,561187.27,26,7.15,2.99,0,499.7,399.3,65.27,80.2,82.8,88.57,74.14,36.84,28.57,34.09,75,8.5,25.6,-3.01,-5.19,3.49,-2.11,29573759,1261.17,425.09,598.98,334.23,598.98,699.24,864.33,27.59,40.46,1.47,25.36,16.39,37.46,23.37,28.49,7.51,36.57,18.12,0.22,561187.27,1131.4,1563.57,1.02,6,1
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,3669.3,504376.1,417382.41,38.8,5.84,0.76,1.35,3860,2211.9,61.81,67.2,73.83,88.57,51.72,50,42.86,47.62,90,12.4,35.51,66.2,15,0.38,2.09,7129818,2616.14,3380.83,3416.19,2658.21,3416.19,3988.02,4929.57,38.04,-6.9,-0.18,125.02,95,13.4,4.62,14.8,2.28,30.78,18.14,0.63,417382.41,6452.8,8917.59,1.05,2,0
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,6697.7,414647.83,201654.33,28.69,5.41,0.54,3.82,8192,6187.8,78.56,85.79,80,74.29,95,65.79,80.95,70.84,55,32.97,5.01,-4.87,-7.74,1.72,-3.26,2877471,1927.24,8246.75,10984.23,6484.08,10984.23,12822.86,15850.27,3.29,64,19.43,282.59,233.46,11.87,4.44,22.05,7.54,-8.05,18.01,0.96,445054.81,20748,28673.13,1.02,5,1
Maruti Suzuki,532500,MARUTI,Automobiles - Passenger Cars,12399.3,390033.78,146752.15,28.92,4.55,0.73,0,13073.95,9254.15,76.78,73.62,80,82.86,65.52,81.58,90.48,84.54,55,36.8,20.47,32.92,17.13,7.19,-3.26,935020,1159.36,14057.74,17546.31,11053.03,17546.31,20483.36,25319.35,12.18,41.51,3.41,453.6,429.01,23.68,13.49,18.3,2.75,127.58,16.93,0.79,350997.73,33143.03,45802.71,1.03,5,0
Adani Enterp.,512599,ADANIENT,Trading,3411.35,389034.35,87426.54,105.02,9.95,0.04,1.67,3457.85,2142,58.61,65.56,100,77.14,44.83,42.11,14.29,32.83,80,23.35,34.05,36.88,44.38,2.34,11.68,6736376,2298.01,3448.56,3766.97,2711.46,3766.97,4397.51,5435.74,25.81,10.42,0.4,30.66,28.43,10.17,2.52,10.27,4.03,-60.69,33.79,2.63,319191.45,7115.38,9833.25,1.04,3,1
HCL Technologies,532281,HCLTECH,Computers - Software - Large,1324.1,359275.94,148060.33,22.88,5.26,3.93,0.08,1697.35,1087.05,72.73,93.11,100,94.29,89.66,34.21,19.05,29.16,70,7.48,11.68,15.96,-0.94,-19.57,-3.11,10655359,1410.88,1446,1633,1136.93,1633,1906.35,2356.42,16.46,23.33,1.42,79.41,57.86,29.84,16.28,23.49,3.27,20.21,13.42,0.95,377801.31,3084.56,4262.77,1.04,4,1
Axis Bank,532215,AXISBANK,Banks - Private Sector,1162.15,357941.02,299959,13.57,2.76,0.09,8.88,1196,920.05,70.06,64.8,66.86,71.43,60,78.95,76.19,78.03,30,36.8,15.97,26.36,5.21,5.97,-0.32,10693881,1242.79,1286,1744.46,1011.13,1744.46,2036.46,2517.26,14.94,50.11,3.35,126.5,85.49,7.53,1.97,20.33,3.17,27.26,14.51,0.41,326823.92,3295.09,4553.72,1.02,6,1
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1459.8,350146.93,142862.9,35,5.5,0.79,0.05,1638.85,977.3,76,85.66,80,97.14,81.03,57.89,52.38,56.06,65,22.73,29.57,47.8,18.56,-5.85,-2.82,5811576,848.37,1483.18,1559.64,1166.17,1559.64,1820.7,2250.56,25.18,6.84,0.27,58.75,39.91,17.31,12.08,16.72,7.22,51.48,23.85,0.59,313846.43,2945.98,4071.26,1.05,2,0
NTPC,532555,NTPC,Power Generation And Supply,359,347820.22,131498.82,16.71,2.17,2.02,1.48,381.25,173.4,58.51,60.72,80,62.86,51.72,52.63,80.95,62.07,70,19.17,48.24,105.85,33.48,5.05,-1.16,31664507,1136.76,313.84,317.5,266.64,271.98,317.5,392.46,34.64,-11.56,-0.33,33.92,21.46,10.37,4.61,13.53,1.95,24.38,10.25,0.86,268913.73,513.74,709.97,1.08,4,1
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs,923,338230.61,142479.53,10.51,3.61,0.22,1.26,1065.6,532.75,69.64,69.89,70,82.86,62.07,68.42,95.24,77.36,30,36.8,42.63,72.46,30.84,-6.61,-8.42,15380394,1419.61,1093.27,1010.12,900.88,1010.12,1179.2,1457.6,2.45,9.44,3.84,59.99,94.47,20.11,9.25,49.44,0.77,17.52,6.04,1,265621.79,1908,2636.81,1.07,5,0
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1680.4,333941.55,260108.33,18.34,2.99,0.09,3.75,1987.75,1543.85,77.68,86.8,81.14,68.57,100,63.16,66.67,64.33,55,20.86,-2.21,-12.93,-4,-2.51,3.48,13171371,2213.32,1852.12,2536.61,1456.25,2536.61,2961.21,3660.33,15.39,50.95,3.31,97.95,91.62,8.75,2.94,16.29,5.94,49.94,15.28,0.85,351023.38,4791.37,6621.54,1.02,5,1
O N G C,500312,ONGC,Oil Drilling / Allied Services,264.35,332871.71,115200.98,6.62,0.99,4.26,0.45,292.95,152.55,63.57,67.62,80,62.86,65.52,55.26,71.43,60.65,30,36.8,31,72.05,35.88,-2.78,-6.54,24625861,650.98,283.01,313.6,230.02,268.64,313.6,387.64,14.92,18.63,1.25,58.21,39.13,18.44,8.81,16.28,0.52,6.46,3.83,0.57,280226.18,507.42,701.24,1.06,7,1
Hind.Aeronautics,541154,HAL,Engineering,4973.85,332698.83,65626.88,43.8,11.45,0.55,0,5378,1542.05,81.84,87.09,100,85.71,82.76,71.05,90.48,77.53,80,36.62,112.84,222.9,102,57.54,26.26,3996675,1987.89,4381.57,3905.52,4208.81,2706.53,3159.57,3905.52,18.18,-21.48,-1.18,253.66,113.57,38.9,10.32,28.9,10.95,44.91,26.32,3.03,231406.47,5112.33,7065.09,1.17,5,0
M & M,500520,M&M,Automobiles - Passenger Cars,2506.25,311509.49,199313.25,27.64,4.71,0.65,1.61,2617.4,1320.3,56.24,61.6,67.31,80,48.28,44.74,57.14,48.87,50,36.8,45.94,90.03,54.18,27.86,16.23,8925299,2236.9,2610.6,2832.56,2144.8,2426.41,2832.56,3501.31,16.85,13.02,0.77,137.12,90.62,13.66,5.57,18.39,2.24,-37.08,14.41,1.12,244826.5,4583.22,6333.88,1.07,3,1
Adani Ports,532921,ADANIPORTS,Miscellaneous,1437.4,310520.81,79579.18,35.02,5.88,0.42,0.94,1457.25,702.85,65.51,78.48,100,80,68.97,39.47,57.14,45.36,80,23.88,21.66,96.35,73.64,7.4,8.49,8537249,1227.14,1319.9,1389.75,1100.57,1190.48,1389.75,1717.86,30.6,-3.31,-0.11,50.28,37.55,12.93,7.72,18.06,11.63,53.64,20.61,1.54,233301.6,2248.68,3107.61,1.08,1,1
Coal India,533278,COALINDIA,Mining / Minerals / Metals,491.2,302524.98,83003.01,8.1,3.66,4.94,0.08,507.35,223.25,76.14,85.37,100,82.86,81.03,57.89,47.62,54.47,45,35.04,49.3,113.24,41.7,9.52,8.12,11758777,577.59,491.25,600.44,421.65,416.11,485.76,600.44,16.5,22.24,1.35,76.53,60.69,65.11,16.7,53.39,2.13,17.67,4.95,0.7,225123.43,785.98,1086.2,1.09,8,1
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1908.35,302393.67,97946.03,241.74,30.74,0,6.6,2018.95,815.55,54.7,65.02,80,65.71,58.62,34.21,33.33,33.92,100,13.74,14.51,92,85.91,-3.2,6.16,4622607,882.16,1823.26,2098.37,1605.15,1454.17,1697.58,2098.37,18.89,9.96,0.53,3.59,6.94,9.22,1.84,14.6,32.8,-57.44,41.99,0.9,224492.4,2746.77,3795.95,1.1,2,1
Adani Power,533096,ADANIPOWER,Power Generation And Supply,755.8,291590.95,56031.36,14,6.76,0,0.8,797.55,230.95,75,83.66,100,77.14,81.03,57.89,61.9,59.23,50,36.8,99.39,197.38,71.62,35.98,23.41,34975233,2643.43,703.49,631.88,674.27,437.89,511.19,631.88,12.09,-16.4,-1.36,53.86,54,32.15,23.38,57.24,5.79,37.13,11.35,4.72,198341.08,827.13,1143.07,1.17,3,0
Hindustan Zinc,500188,HINDZINC,Mining / Minerals / Metals,687.25,289884.87,80952.28,37.23,19.06,1.89,0.57,807.7,284.6,45.68,63.94,10,74.29,79.31,15.79,19.05,16.88,75,-14.88,28.02,124.85,128.97,119.85,60.97,2884868,198.26,642.94,670.08,587.62,464.36,542.09,670.08,16.95,-2.5,-0.15,42.34,18.43,46.32,22.45,55.28,10.02,27.86,20.21,0.24,230764.76,877.13,1212.17,1.13,4,1
Power Grid Corpn,532898,POWERGRID,Power Generation And Supply,310,288506.86,113859.12,18.53,3.31,3.57,1.42,328.35,174.82,54.93,68.47,80,65.71,65.52,28.95,19.05,25.65,95,1.56,34.92,77.4,47.48,8.07,2.7,37898311,1174.85,268.54,301.92,216.6,258.63,301.92,373.21,43.12,-2.61,-0.06,27.8,16.74,12.98,6.21,18.3,6.29,11.51,10.02,1.03,233989.15,488.53,675.13,1.06,2,0
Titan Company,500114,TITAN,Diamond Cutting / Jewellery,3241.9,287974.22,140361.69,82.37,30.64,0.31,1.65,3886.95,2826.45,68.27,73.64,80,71.43,72.41,57.89,28.57,48.12,70,24.39,26.77,14.67,-7.1,-13.87,-9.68,2581816,837,3868.98,4961,3042.02,4961,5791.41,7158.73,6.57,53.03,8.07,58.66,39.38,22.7,11.94,32.91,5.64,835.06,51.83,0.6,298007.83,9370.78,12950.14,1.03,4,1
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India,9915.5,286334.71,106099.51,40.57,4.75,0.38,0.19,10526,7826.45,65.27,66.72,80,82.86,51.72,60.53,80.95,67.34,70,27.83,14.52,26.43,9.76,-1.89,-0.57,801289,794.52,9659.87,12665.24,7595.17,12665.24,14785.25,18275.96,30.55,27.73,0.91,385.01,242.65,15.26,7.34,12.32,4.04,98.49,21.82,0.75,264917.62,23923.23,33061.21,1.02,3,1
Avenue Super.,540376,DMART,Trading,4302.15,280134.75,69407.45,110.48,14.97,0,0.03,4924.2,3491.25,69.09,72.46,100,71.43,62.07,60.53,76.19,65.75,80,20.22,12.21,22.89,7.87,11.22,-6.55,885519,380.96,4535.97,5670.96,3566.45,5670.96,6620.21,8183.2,20.63,31.82,1.54,50.55,38.97,19.55,12.91,14.58,5.52,-1475.11,65.9,0.55,273796.67,10711.81,14803.41,1.03,6,1
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,2881.2,276536.68,141751.14,50.65,14.76,1.16,0.13,3568,2670.1,76.87,87.4,80,88.57,89.66,57.89,14.29,43.36,70,19.8,-0.57,-11.09,-9.21,1.1,0.18,2574641,741.81,3353.08,4424.73,2636.39,4424.73,5165.38,6384.9,9.29,53.57,5.77,58.84,56.92,37.51,19.95,31.45,7.79,120.83,33.06,0.52,299179.28,8357.83,11550.28,1.02,3,1
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9084.75,253666.01,87216.19,32.91,8.76,0.88,0.07,9357.95,4541,73.59,86.54,80,88.57,87.93,50,61.9,53.97,80,21.54,28.93,95.64,50.26,12.98,2.03,563514,511.94,8140.08,8606.1,6774.01,7372.1,8606.1,10637.95,34.11,-5.27,-0.15,430.44,276.1,33.47,20.7,26.43,5.65,54.95,24.33,0.59,194029.34,13925.08,19244.06,1.07,5,1
Siemens,500550,SIEMENS,Electric Equipment,6967.95,248398.87,47334.82,107.18,17.84,0.14,0.01,7388.05,3246,82.98,87.07,100,97.14,75.86,73.68,85.71,77.69,90,36.8,50.13,97.15,85.66,47.1,19.28,940120,655.07,6636.41,8102.94,5698.79,5615.34,6555.28,8102.94,22.27,16.29,0.73,86.48,65.08,20.66,9.22,15.36,12.67,239.4,72.47,1.38,189339.26,10606.75,14658.23,1.09,4,1
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,1528.6,243878.42,100032.27,29.93,4.04,0.07,4.79,1741.85,1448,75.99,87.21,100,65.71,95,65.79,61.9,64.49,65,23.35,8.92,5.41,-9.33,-5.06,-5.35,2910738,444.94,1636.81,2399.37,1286.96,2399.37,2801,3462.3,18.78,56.97,3.03,59.42,51.07,11.65,3.31,15.27,2.21,-5.05,12.79,0.44,254470.28,4532.15,6263.3,1.01,5,1
I R F C,543257,IRFC,Finance - Term-Lending Institutions,177.8,232423.85,20013.51,36.25,4.72,0.84,8.38,192.8,31.75,58.26,64,100,80,40,57.89,57.14,57.64,90,13.81,96.04,453.03,135.81,19.57,13.07,61110547,1086.55,122.36,69.2,129.85,47.96,55.99,69.2,36.92,-61.08,-1.65,13.58,4.91,5.73,1.31,13.55,8.72,-8.19,24.28,5.43,146726.58,90.59,125.19,1.36,2,1
I O C L,530965,IOC,Refineries,162.4,229328.92,96670.56,5.5,1.25,3.08,0.72,196.8,85.5,66.42,77.93,80,80,75.86,44.74,0,29.82,10,36.8,30.38,79.45,45.98,-5.69,-3.82,35670125,579.28,193.09,162.11,166.38,162.11,189.25,233.93,-2.39,-0.18,0.07,38.23,29.55,21.24,9.34,25.83,0.3,20.11,4.43,0.6,199320.74,306.21,423.18,1.09,6,1
Wipro,507685,WIPRO,Computers - Software - Large,438.2,229094.17,65275.5,20.74,3.07,0.23,0.22,546.1,375,63.06,86.22,100,94.29,75.86,18.42,33.33,23.39,55,-2.67,-6.89,7.63,7.49,-16.19,-5.23,11391567,499.18,457.22,553.64,359.49,553.64,646.31,798.9,21.89,26.34,1.2,28.9,21.14,17.15,9.59,14.51,2.55,18.21,12.17,0.76,240780.15,1045.76,1445.21,1.03,4,1
Nestle India,500790,NESTLEIND,Food - Processing - MNC,2354.9,226992.73,88254.45,71.18,67.96,0.71,0.1,2770.75,2145,84.48,93.13,100,82.86,96.55,68.42,80.95,72.6,30,20.96,9.86,7.66,-3.24,-9.25,-6.08,2593047,610.64,2665.42,3638.62,2095.71,3638.62,4247.68,5250.54,12.37,54.51,4.41,47.26,33.15,152.52,33.44,122.11,11.6,118.89,46.82,0.69,236988.31,6872.95,9498.22,1.02,4,1
Jio Financial,543940,JIOFIN,Finance & Investments,344.35,218743.89,100368.8,136.33,1.57,0,0,394.7,202.8,43.03,46.91,80,71.43,18.97,31.58,19.05,27.4,80,36.8,,,52.71,4.9,-8.66,37686624,1297.74,408.69,384.52,333.69,384.52,448.88,554.86,3.19,11.67,3.65,3.09,2.53,1.55,1.24,1.27,117.99,,104.54,1.29,189804.84,726.31,1003.74,1.07,1,0
Bharat Electron,500049,BEL,Electronics - Components,295.95,216370.12,74154.69,54.3,13.25,0.61,0,303.35,111.9,82.92,88.26,80,88.57,91.38,73.68,76.19,74.52,85,29.1,82.14,162.13,100.71,43.14,26.61,53075406,1570.77,251.32,270.9,226.92,187.73,219.16,270.9,30.42,-8.47,-0.28,9.12,5.45,34.75,10.62,26.4,10.68,77.69,35.93,2.12,151769.72,354.6,490.05,1.12,5,1
JSW Steel,500228,JSWSTEEL,Steel - Large,880.55,215395.39,109650.68,25.57,2.77,0.39,1.13,929.8,695.05,47.2,52.7,40,74.29,44.83,36.84,9.52,27.74,55,32.02,8.23,26.91,8.6,4.21,-0.19,5401032,475.59,998.55,1316.24,785.12,1316.24,1536.57,1899.34,12.16,49.48,4.07,70.93,36.03,13.24,3.91,11.75,1.23,30.29,10.01,0.43,198678.53,2486.24,3435.91,1.02,3,1
Tata Steel,500470,TATASTEEL,Steel - Large,167.2,208661.02,118556.32,,2.27,2.15,0.95,178,106.3,29.86,34.36,30,48.57,27.59,21.05,23.81,21.97,75,-36.8,14.95,57.81,28.62,7.7,1.33,87953288,1470.58,102.2,107.62,110,107.62,125.64,155.3,51.99,-35.63,-0.69,16.63,-3.55,7.67,-0.85,-2.21,0.91,12.48,11.93,1.24,177452.95,203.28,280.93,1.05,4,1
DLF,532868,DLF,Construction,815.65,201873.63,45846.97,74.12,5.12,0.49,0.12,967.6,461.55,70.22,70.71,100,88.57,48.28,65.79,85.71,72.43,75,36.8,41.6,70.92,29.62,-11.63,-8.54,12388224,1010.45,848.64,886.9,710.17,759.73,886.9,1096.29,14.85,8.74,0.59,15.75,11.02,5.88,4.83,7.06,31.41,74.12,76.21,2.2,176878.75,1435.05,1983.19,1.08,5,1
Varun Beverages,540180,VBL,Food - Processing - Indian,1426.8,185295.9,55816.75,85.62,26.72,0.18,0.78,1561.95,754.35,85.88,87.97,100,77.14,89.66,81.58,85.71,82.96,70,36.8,85.45,68.95,31.01,-1.52,-3.56,4875694,695.66,1584.35,1669.7,1320.51,1430.28,1669.7,2063.9,8.05,17.02,2.11,27.36,16.66,28.82,16.16,35.2,11.25,-1602.68,49.07,1.25,150490.01,2701.65,3733.6,1.07,5,1
A B B,500002,ABB,Electric Equipment,8317.95,176469.31,32970.32,120.65,29.65,0.29,0.01,8600,3847.5,87.41,93.12,100,91.43,91.38,76.32,95.24,82.62,85,36.8,69.99,110.87,89.59,51.25,27.17,519988,432.52,8514.09,8516.15,7270.65,7295.04,8516.15,10526.76,14.4,2.38,0.17,84.02,68.73,30.69,12.28,22.92,15.88,232.24,82.3,1.31,131881.26,13779.53,19042.91,1.09,5,1
Vedanta,500295,VEDL,Mining / Minerals / Metals,450,167179.46,50543.39,45.73,5.44,6.56,2.37,506.85,207.85,36.39,47.6,10,54.29,58.62,18.42,14.29,17.04,75,-36.8,18.82,61.81,87.97,64.8,13.11,36087774,1623.95,312.62,363.66,313.23,252.02,294.2,363.66,43.66,-19.19,-0.44,43.16,11.4,23.41,3.41,10.42,1.16,7.94,6.24,3.21,132834.14,476.03,657.86,1.1,4,1
Power Fin.Corpn.,532810,PFC,Finance - Term-Lending Institutions,492.45,162221.77,48740.22,8.21,1.61,2.23,8.52,524.5,146.68,80.47,84.93,80,71.43,95,73.68,90.48,79.28,50,21.28,72.87,236.01,34.86,18.52,11.53,32654307,1608.06,402.83,352.14,389.09,244.03,284.88,352.14,26.57,-28.49,-1.07,119.58,59.88,9.85,2.74,21.33,1.78,-2.9,11.14,3.3,110748.06,460.95,637.02,1.18,8,1
Trent,500251,TRENT,Trading,4559.15,162108.66,71201.17,179.14,39.84,0.07,0.43,4799.3,1559.95,67.1,65.62,40,82.86,65.52,71.05,80.95,74.35,100,36.8,75.73,191.8,62.38,16.61,3.38,3022375,1377.95,4349.73,4268.02,4057.44,2957.74,3452.83,4268.02,12.37,-6.39,-0.52,22.35,41.82,23.79,11.87,27.16,13.1,413.95,73.83,1.94,113035.67,5586.84,7720.85,1.15,6,1
Interglobe Aviat,539448,INDIGO,Transport - Airlines,4189.05,161711.71,56548.01,19.8,83.69,0,26.54,4529,2331.1,71.27,69.32,80,74.29,62.07,73.68,66.67,71.35,30,36.8,33.88,78.73,52.61,32.57,5.19,1850899,775.35,4692.31,5159.71,3828.93,4419.88,5159.71,6377.89,9.41,23.17,2.46,252.71,211.6,26.62,11.58,,2.35,14.23,10.54,1.37,132399.93,8348.66,11537.6,1.07,5,1
Zomato Ltd,543320,ZOMATO,Miscellaneous,179.15,158050.18,122021.93,450.29,7.74,0,0.04,207.3,69.4,61.44,59.6,65.93,80,44.83,63.16,71.43,65.91,95,36.8,,163.65,54.04,6.86,-7.25,152412902,2730.48,189.26,131.59,175.26,131.59,153.61,189.88,2.22,-26.55,-11.95,0.36,0.4,1.77,1.56,1.76,13.05,-378.73,177.8,2.24,122021.93,248.55,343.49,1.14,4,1
Ambuja Cements,500425,AMBUJACEM,Cement - North India,634.05,156287.93,38767.21,45.32,3.6,0.32,0.02,656.95,404,63.15,68.12,100,88.57,43.1,50,76.19,58.73,80,19.3,25.06,47.71,43.45,2.61,2.28,3746890,237.57,582.98,632.18,458.37,632.18,738,912.24,38.33,-0.29,-0.01,20.56,16.28,13.9,7.81,10.12,4.71,342.86,19.23,0.61,130661.3,1194.12,1650.24,1.04,2,1
Grasim Inds,500300,GRASIM,Textiles - Manmade,2316.25,154949.6,79196.54,26.45,1.72,0.43,1.55,2535.1,1689.28,46.81,36.34,70,40,20.69,63.16,76.19,67.5,85,1.89,17.2,36.59,15.35,3.14,-3.96,1651135,382.44,2046.94,2405.2,1609.42,2405.2,2807.81,3470.71,43.92,3.84,0.09,144.49,85.42,9.38,2.76,7,1.18,-8.15,10.07,0.48,139087.71,4543.16,6278.52,1.04,4,1
Hindalco Inds.,500440,HINDALCO,Aluminium and Aluminium Products,689.35,154911.87,82309.87,15.28,1.46,0.44,0.53,713.5,407.3,55.95,51.83,40,77.14,41.38,63.16,85.71,70.68,55,24.96,20.43,69.64,33.28,31.84,6.98,13860387,955.47,655.5,660.31,515.77,660.31,770.84,952.83,33.66,-4.21,-0.13,67.24,45.19,11.24,4.45,10.09,0.72,15.85,7.76,1.16,125933.09,1247.26,1723.67,1.05,5,0
Pidilite Inds.,500331,PIDILITIND,Chemicals,2969.5,151076.89,41593.54,84.81,17.96,0.37,0.05,3118,2292.55,79.87,91.4,100,88.57,89.66,57.89,52.38,56.06,75,27,12.83,11.99,15.9,8.29,-2.61,1242618,369,2941.14,3813.29,2312.5,3813.29,4451.59,5502.58,28.41,28.42,1,42.85,34,29.72,15.92,22.81,12.2,118.85,53.09,0.89,137590.29,7202.87,9954.16,1.03,5,1
Punjab Natl.Bank,532461,PNB,Banks - Public Sector,129.45,142593.53,28470.65,15.66,1.39,1.16,13.22,142.9,49.7,55.01,53.14,100,77.14,20,71.05,80.95,74.35,60,36.8,45.94,150.39,60.41,2.9,-8.22,75602216,978.67,131.74,94.23,120.81,94.23,110.01,135.98,7.15,-27.2,-3.8,7.49,8.27,5.59,0.61,8.85,1.31,34.34,16.44,3.44,106035.93,178,245.99,1.13,6,1
REC Ltd,532955,RECLTD,Finance - Term-Lending Institutions,537.75,141653.34,45684.08,10.01,2.04,2.34,6.42,591.4,141.1,82.31,84.93,80,71.43,95,78.95,90.48,82.79,50,25.41,70.19,282.47,43.78,16.33,6.03,26457708,1422.76,439.73,338.82,438.82,234.8,274.11,338.82,22.55,-36.99,-1.64,107.32,53.72,10.05,2.79,22.19,2.98,-4.42,12.19,3.11,96440.95,443.52,612.93,1.22,7,1
Tata Power Co.,500400,TATAPOWER,Power Generation And Supply,436.75,139622.11,57595.56,39.66,4.31,0.46,1.66,464.3,214.1,59.78,59.86,80,60,51.72,57.89,57.14,57.64,85,23.18,61,102.86,58.24,15.19,-2.78,16224047,708.59,400.94,409.47,339.17,350.76,409.47,506.14,28.77,-6.25,-0.22,13.47,11.57,11.27,3.05,11.51,2.27,-265.44,13.27,1.23,108384.58,662.54,915.61,1.08,4,1
